YearMonth,In-Out,CompanyCode,TotalOrder,DetailContract,SVTTotal,SVTForeigner,OrderTotal,DetailOrderForeigner
2018-12-01,1,8,46,20,9,2,0,0
2018-12-01,1,9,65,0,57,51,0,0
2018-12-01,1,10,7,0,0,0,0,0
2018-12-01,1,11,230,0,79,65,9,0
2019-01-01,1,0,340,0,118,68,51,36
2019-01-01,1,1,205,205,142,69,2,0
2019-01-01,1,2,30,0,9,0,0,0
2019-01-01,1,3,11,0,11,9,0,0
2019-01-01,1,4,240,57,202,118,33,33
2019-01-01,1,5,60,60,60,60,9,9
2019-01-01,1,6,150,0,21,21,0,0
2019-01-01,1,7,90,20,3,2,0,0
2019-01-01,1,8,46,20,9,2,0,0
2019-01-01,1,9,65,0,57,51,0,0
2019-01-01,1,37,21,0,5,0,0,0
2019-01-01,1,10,5,0,0,0,0,0
2019-01-01,1,11,230,0,76,63,10,0
2019-01-01,0,12,180,0,87,0,0,0
2019-01-01,0,13,130,0,27,0,10,0
2019-01-01,0,20,50,0,21,1,7,0
2019-01-01,0,14,200,0,14,0,20,0
2019-01-01,0,15,140,0,7,0,3,0
2019-01-01,0,28,101,0,29,28,0,0
2019-01-01,0,29,13,0,3,1,0,0
2019-01-01,0,38,28,0,19,8,0,0
2019-01-01,0,36,22,0,11,0,0,0
2019-01-01,0,39,8,0,8,0,10,0
2019-01-01,0,21,50,0,10,0,5,0
2019-01-01,0,16,50,0,5,0,10,0
2019-01-01,0,17,40,0,9,0,0,0
2019-01-01,0,40,50,0,10,0,1,0
2019-01-01,0,41,100,0,7,0,5,0
2019-01-01,0,27,25,0,5,0,0,0
2019-01-01,0,31,40,0,6,0,0,0
2019-01-01,0,42,40,0,5,0,5,0
2019-01-01,0,23,210,0,5,0,14,0
2019-01-01,0,43,10,0,5,0,1,0
2019-01-01,0,44,60,0,5,0,0,0
2019-01-01,0,45,4,0,4,0,3,0
2019-01-01,0,46,50,0,4,0,2,0
2019-01-01,0,32,290,0,6,0,10,0
2019-01-01,0,48,20,0,2,0,15,0
2019-01-01,0,49,30,0,2,0,0,0
2019-01-01,0,50,60,0,3,0,0,0
2019-01-01,0,51,5,0,3,0,0,0
2019-01-01,0,52,3,0,2,0,0,0
2019-01-01,0,33,30,0,2,0,3,0
2019-01-01,0,26,20,0,1,0,0,0
2019-01-01,0,34,80,0,15,0,5,0
2019-01-01,0,35,8,0,0,0,3,3
2019-01-01,0,53,3,0,1,0,1,0
2019-01-01,0,54,2,0,1,0,1,0
2019-01-01,0,55,0,0,0,0,2,0
2019-01-01,0,56,1,0,0,0,0,0
2019-01-01,0,57,8,0,2,1,0,0
2019-01-01,0,58,100,0,1,0,0,0
2019-01-01,0,59,1,0,1,0,6,0
2019-01-01,0,60,20,0,1,0,0,0
2019-01-01,0,61,1,0,1,0,5,0
2019-01-01,0,62,30,0,5,0,1,0
2019-01-01,0,63,5,0,1,0,0,0
2019-01-01,0,64,180,0,2,0,5,4
2019-02-01,1,0,340,0,118,67,30,25
2019-02-01,1,1,200,200,142,79,0,0
2019-02-01,1,2,30,0,9,0,0,0
2019-02-01,1,3,13,0,12,9,1,0
2019-02-01,1,4,240,0,213,143,0,32
2019-02-01,1,5,71,71,71,71,0,0
2019-02-01,1,6,150,0,21,21,0,0
2019-02-01,1,7,90,20,3,2,0,0
2019-02-01,1,8,46,20,9,2,0,0
2019-02-01,1,37,21,0,5,0,0,0
2019-02-01,1,11,230,0,76,63,3,0
2019-02-01,0,12,170,0,86,0,0,0
